编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
20,清河县光宏羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao忆雀旗舰店"，"点我对话"),忆雀旗舰店,忆雀旗舰店,,,,,https://shop200217355.taobao.com,,,531003.00,北京,针织女,,4.86816分,0%,4.85204分,12.23%,4.85945分,11.91%,,,,,,,,,,
21,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博海羊绒批发"，"点我对话"),博海羊绒批发,博海羊绒批发,,,,,https://shop65217426.taobao.com,,,176307.00,北京,针织女,,4.88624分,44.47%,4.90899分,44.63%,4.92091分,49.93%,,,,,,,,,,
22,清河县耀庆服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丹豆旗舰店"，"点我对话"),丹豆旗舰店,丹豆旗舰店,,,,,https://shop254572648.taobao.com,,,3444946.00,北京,针织女,,4.9179分,35.45%,4.8884分,33.80%,4.89837分,36.31%,,,,,,,,,,
23,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao唯独风尚88"，"点我对话"),唯独风尚88,素棉记,,,,,https://shop109512480.taobao.com,,,330914.60,北京,针织女,,4.80541分,5.02%,4.85252分,10.28%,4.86727分,15.97%,,,,,,,,,,
24,北京霓裳如景科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaiw旗舰店"，"点我对话"),aiw旗舰店,aiw旗舰店,,,,,https://shop63185047.taobao.com,,,0,北京,针织女,,4.91815分,35.65%,4.86147分,17.82%,4.87871分,23.98%,,,,,,,,,,
25,丽莎余服饰（北京）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolisayu旗舰店"，"点我对话"),lisayu旗舰店,lisayu旗舰店,,,,,https://shop145499364.taobao.com,,,2436444.00,北京,针织女,,4.88296分,7.98%,4.83749分,3.59%,4.862分,13.51%,,,,,,,,,,
26,郑州莱雅实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodmodes黛玛诗旗舰店"，"点我对话"),dmodes黛玛诗旗舰店,dmodes黛玛诗旗舰店,,,,,https://shop211680649.taobao.com,,,0,北京,针织女,,4.95326分,63.25%,4.93967分,64.21%,4.95761分,73.43%,,,,,,,,,,
27,清河县双越羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao莎岚伊陌旗舰店"，"点我对话"),莎岚伊陌旗舰店,莎岚伊陌旗舰店,,,,,https://shop594257253.taobao.com,,,1025663.00,北京,针织女,,4.93732分,50.72%,4.92308分,54.37%,4.94872分,67.86%,,,,,,,,,,
28,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao一山一景衣舍"，"点我对话"),一山一景衣舍,一山一景,,,,,https://shop103781131.taobao.com,,,393038.00,北京,针织女,,4.78898分,0.13%,4.84787分,7.45%,4.85384分,7.46%,,,,,,,,,,
29,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqhsyt"，"点我对话"),qhsyt,亿乐购商城,,,,,https://shop101985875.taobao.com,,,380772.00,北京,针织女,,4.75737,-0.78%,4.80272,-0.68%,4.81406分,-0.58%,,,,,,,,,,
