编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
648,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb王路路"，"点我对话"),tb王路路,孔雀阁 轻奢定制女装,,,,,https://shop72080163.taobao.com,,,51908.00,福建,针织女,,4.91291,57.49%,4.92793,56.16%,4.92492分,52.47%,,,,,,,,,,
649,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosensex2015"，"点我对话"),sensex2015,BYSENSE DESIGN 独立,,,,,https://shop125219976.taobao.com,,,23196.00,广东,针织女,,4.87456分,38.77%,4.90244分,40.65%,4.91638分,47.06%,,,,,,,,,,
650,常熟雷亿欧商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao巴尼海伦旗舰店"，"点我对话"),巴尼海伦旗舰店,巴尼海伦旗舰店,,,,,https://shop117618131.taobao.com,,,26637.53,广东,针织女,,4.8223分,1.04%,4.81185分,0%,4.82927分,0%,,,,,,,,,,
651,浙江森马电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomarcopolo旗舰店"，"点我对话"),marcopolo旗舰店,marcopolo旗舰店,,,,,https://shop137384969.taobao.com,,,0.00,广东,针织女,,4.90656分,26.54%,4.90903分,46.03%,4.9375分,60.83%,,,,,,,,,,
652,温州市和鼎经贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaouti服饰旗舰店"，"点我对话"),uti服饰旗舰店,uti服饰旗舰店,,,,,https://shop145850428.taobao.com,,,0,广东,针织女,,4.92746分,42.97%,4.90082分,41.16%,4.91811分,48.68%,,,,,,,,,,
653,上海诺有贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoroensl诺恩斯利旗舰店"，"点我对话"),roensl诺恩斯利旗舰店,roensl诺恩斯利旗舰店,,,,,https://shop100021441.taobao.com,,,38484544.00,广东,针织女,,4.90007分,21.43%,4.86591分,20.45%,4.86885分,17.81%,,,,,,,,,,
654,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao男装商贸城666"，"点我对话"),男装商贸城666,小琪正品折扣店888,15921012334,,13310158060,,https://shop59724149.taobao.com,,,81833.00,广东,针织女,,4.89208,47.33%,4.91188,46.39%,4.89406分,32.93%,,,,,,,,,,
655,上海美特斯邦威服饰股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaochin祺旗舰店"，"点我对话"),chin祺旗舰店,chin祺旗舰店,,,,,https://shop500954952.taobao.com,,,204834.70,广东,针织女,,4.89041分,13.82%,4.90868分,45.84%,4.90639分,41.35%,,,,,,,,,,
656,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaogirl青春志"，"点我对话"),girl青春志,Girl青春志原创设计森,,,,,https://shop140975982.taobao.com,,,84538.00,广东,针织女,,4.95652分,78.79%,4.94783分,68.29%,4.94783分,67.00%,,,,,,,,,,
657,上海易崴迅环境艺术设计有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao易崴迅服饰专营店"，"点我对话"),易崴迅服饰专营店,易崴迅服饰专营店,,,,,https://shop113416109.taobao.com,,,541193.00,广东,针织女,,4.91716分,34.86%,4.89546分,38.00%,4.91124分,44.39%,,,,,,,,,,
658,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao新颖哥弟特服饰店"，"点我对话"),新颖哥弟特服饰店,新颖哥弟特商城88,,,,,https://shop509669751.taobao.com,,,157452.00,广东,针织女,,4.91446,58.25%,4.93449,60.15%,4.93754分,60.46%,,,,,,,,,,
659,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao墨蓝女装"，"点我对话"),墨蓝女装,d[s103694302],,,,,https://shop103694302.taobao.com,,,101389.00,广东,针织女,,4.78393,0.23%,4.85125,9.51%,4.84891分,4.34%,,,,,,,,,,
660,上海嘉韩实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodharry服饰旗舰店"，"点我对话"),dharry服饰旗舰店,dharry服饰旗舰店,,,,,https://shop175215640.taobao.com,,,417739.20,广东,针织女,,4.90368分,24.27%,4.89354分,36.85%,4.92649分,53.93%,,,,,,,,,,
661,上海晨贝贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao嘉茱莉旗舰店"，"点我对话"),嘉茱莉旗舰店,嘉茱莉旗舰店,,,,,https://shop68057743.taobao.com,,,0,广东,针织女,,4.8659分,0%,4.86429分,19.49%,4.8768分,22.79%,,,,,,,,,,
662,上海梦诚商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaixuka旗舰店"，"点我对话"),aixuka旗舰店,aixuka旗舰店,,,,,https://shop105969970.taobao.com,,,3311588.00,广东,针织女,,4.87739分,3.60%,4.81445分,0%,4.83963分,0%,,,,,,,,,,
663,上海央盛电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱央央旗舰店"，"点我对话"),爱央央旗舰店,爱央央旗舰店,021-58225496,,,,https://shop62544413.taobao.com,,,12202945.00,广东,针织女,,4.92668分,42.35%,4.88237分,30.22%,4.88362分,27.06%,,,,,,,,,,
664,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao为美加倍"，"点我对话"),为美加倍,新颖哥弟特线上店,,,,,https://shop219107278.taobao.com,,,26306.50,广东,针织女,,4.70968分,-1.78%,4.75953分,-1.57%,4.77713分,-1.34%,,,,,,,,,,
665,嘉兴千泽电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao媛播旗舰店"，"点我对话"),媛播旗舰店,媛播旗舰店,,,,,https://shop177181623.taobao.com,,,489398.00,广东,针织女,,4.98101分,85.07%,4.9462分,68.09%,4.93987分,62.32%,,,,,,,,,,
666,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淑女时尚部落"，"点我对话"),淑女时尚部落,阔太太精品连衣裙,,,,,https://shop111558764.taobao.com,,,11525.00,广东,针织女,,4.71014分,-1.77%,4.76812分,-1.39%,4.71739分,-2.57%,,,,,,,,,,
667,裘格（上海）服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopinkmary旗舰店"，"点我对话"),pinkmary旗舰店,pinkmary旗舰店,,,,,https://shop116696702.taobao.com,,,364680.00,广东,针织女,,4.9359分,49.60%,4.87607分,26.49%,4.9359分,59.84%,,,,,,,,,,
668,杭州拔越商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao费潮旗舰店"，"点我对话"),费潮旗舰店,费潮旗舰店,,,,,https://shop352089918.taobao.com,,,0,广东,针织女,,4.80471分,1.40%,4.69345分,2.86%,4.71369分,2.62%,,,,,,,,,,
669,清河县佰优羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诺佰然旗舰店"，"点我对话"),诺佰然旗舰店,诺佰然旗舰店,,,,,https://shop162486378.taobao.com,,,996863.00,广东,针织女,,4.97525分,80.54%,4.94554分,67.69%,4.93069分,56.56%,,,,,,,,,,
670,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天虹鞋业专铺"，"点我对话"),天虹鞋业专铺,天虹服装店,,,,,https://shop63373988.taobao.com,,,27280.00,广东,针织女,,4.91579,58.90%,4.92632,55.18%,4.95789分,73.34%,,,,,,,,,,
671,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao柠檬绿茶_8899"，"点我对话"),柠檬绿茶_8899,青柠女装 大牌定制,,,,,https://shop114038106.taobao.com,,,65340.00,广东,针织女,,4.97438分,87.50%,4.98763分,92.48%,4.99027分,93.85%,,,,,,,,,,
672,上海芬奇商贸发展有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoise旗舰店"，"点我对话"),ise旗舰店,ise旗舰店,,,,,https://shop197291758.taobao.com,,,0,广东,针织女,,4.95992分,68.48%,4.93565分,61.83%,4.95148分,69.60%,,,,,,,,,,
673,上海赛淼服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩伊名媛旗舰店"，"点我对话"),韩伊名媛旗舰店,韩伊名媛旗舰店,,,,,https://shop111293163.taobao.com,,,1433739.00,广东,针织女,,4.94276分,55.00%,4.92761分,57.06%,4.94613分,66.24%,,,,,,,,,,
674,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我的名字叫什么1103"，"点我对话"),我的名字叫什么1103,日系の轻奢女装,,,,,https://shop549341624.taobao.com,,,51496.00,广东,针织女,,4.87619分,39.57%,4.86667分,18.89%,4.90159分,37.70%,,,,,,,,,,
675,摩酷时装（上海）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoungrid官方旗舰店"，"点我对话"),ungrid官方旗舰店,ungrid官方旗舰店,,,,,https://shop165667251.taobao.com,,,7836370.00,广东,针织女,,4.89382分,16.52%,4.90154分,41.59%,4.91892分,49.19%,,,,,,,,,,
676,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao有一个杯子"，"点我对话"),有一个杯子,欣之依 星星家,,,,,https://shop113579311.taobao.com,,,0,广东,针织女,,4.86654分,34.90%,4.89362分,35.33%,4.89684分,34.75%,,,,,,,,,,
677,苏州蝶吻妮贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao慕丽卡旗舰店"，"点我对话"),慕丽卡旗舰店,慕丽卡旗舰店,,,,,https://shop199134452.taobao.com,,,21622.88,广东,针织女,,4.8488分,0%,4.8295分,0%,4.85824分,11.18%,,,,,,,,,,
678,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淘金者_5936"，"点我对话"),淘金者_5936,美特斯邦威品牌Outlets店,,,,,https://shop114865564.taobao.com,,,0,广东,针织女,,4.76792,-0.57%,4.81115,-0.51%,4.82139分,0.43%,,,,,,,,,,
679,艾弗戈（上海）服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoinnovgirl女装旗舰店"，"点我对话"),innovgirl女装旗舰店,innovgirl女装旗舰店,,,,,https://shop104631995.taobao.com,,,1674786.00,广东,针织女,,4.98921分,91.52%,4.96763分,80.80%,4.96403分,77.46%,,,,,,,,,,
680,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao静静心妖娆"，"点我对话"),静静心妖娆,ANNZ原创 仅此一家,,,,,https://shop59874221.taobao.com,,,128964.00,广东,针织女,,4.856分,29.71%,4.89641分,36.98%,4.88369分,26.36%,,,,,,,,,,
681,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoycj19862"，"点我对话"),ycj19862,美特斯邦威十年老店,,,,,https://shop36976805.taobao.com,,,0,广东,针织女,,4.78804分,0.15%,4.85598分,12.39%,4.86141分,12.26%,,,,,,,,,,
682,上海永学科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocherrykoko旗舰店"，"点我对话"),cherrykoko旗舰店,cherrykoko旗舰店,,,,,https://shop67596224.taobao.com,,,0,广东,针织女,,4.77158分,2.08%,4.78846分,0.89%,4.80629分,0.71%,,,,,,,,,,
683,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩潮依城"，"点我对话"),韩潮依城,CANST KASER 高端女装,,,,,https://shop106078645.taobao.com,,,83061.00,广东,针织女,,4.99628,98.18%,4.99257,95.48%,4.99257分,95.30%,,,,,,,,,,
684,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoroxyvip"，"点我对话"),roxyvip,MFHK THE ONE 私橱,,,,,https://shop61824466.taobao.com,,,0,广东,针织女,,4.89043分,46.52%,4.91072分,45.69%,4.90666分,40.91%,,,,,,,,,,
685,丝恩道时装（上海）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoidooer旗舰店"，"点我对话"),idooer旗舰店,idooer旗舰店,,,,,https://shop543825465.taobao.com,,,28636.00,广东,针织女,,4.95385分,63.71%,4.90769分,45.25%,4.86154分,13.25%,,,,,,,,,,
686,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao伊人红妆潮吧"，"点我对话"),伊人红妆潮吧,香港代购林的专柜,,,,,https://shop105597931.taobao.com,,,0,广东,针织女,,4.95509,78.08%,4.96615,79.41%,4.97512分,84.25%,,,,,,,,,,
687,北京菲克欧文化传媒有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恩么家族旗舰店"，"点我对话"),恩么家族旗舰店,恩么家族旗舰店,,,,,https://shop106235273.taobao.com,,,2329895.00,广东,针织女,,4.94624分,57.73%,4.94624分,68.11%,4.94624分,66.31%,,,,,,,,,,
688,服可利(深圳)服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoonon安乃安旗舰店"，"点我对话"),onon安乃安旗舰店,onon安乃安旗舰店,18571725172,,,,https://shop192403077.taobao.com,,,2299991.00,广东,针织女,,4.91889分,36.23%,4.91329分,48.56%,4.90939分,43.21%,,,,,,,,,,
689,上海秋丽蒲实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaorenaikeikaku旗舰店"，"点我对话"),renaikeikaku旗舰店,renaikeikaku旗舰店,,,,,https://shop523942399.taobao.com,,,12658.00,广东,针织女,,4.86441分,0%,4.86441分,19.58%,4.88136分,25.66%,,,,,,,,,,
690,莆田市耀晨电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧乐妮旗舰店"，"点我对话"),欧乐妮旗舰店,欧乐妮旗舰店,,,,,https://shop189075113.taobao.com,,,658837.50,广东,针织女,,4.96314分,71.02%,4.95686分,74.41%,4.96706分,79.36%,,,,,,,,,,
691,上海圣盾贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomarryobidos旗舰店"，"点我对话"),marryobidos旗舰店,marryobidos旗舰店,,,,,https://shop112821132.taobao.com,,,0,广东,针织女,,4.83842分,0.71%,4.80741分,0.50%,4.81243分,0.58%,,,,,,,,,,
692,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohuangyonghua1993"，"点我对话"),huangyonghua1993,猫妹时装,,,,,https://shop116373407.taobao.com,,,5023757.00,广东,针织女,,4.83368,18.87%,4.85863,14.06%,4.9106分,43.45%,,,,,,,,,,
693,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopyl921123"，"点我对话"),pyl921123,静老太服饰,,,,,https://shop140401922.taobao.com,,,46666.00,广东,针织女,,4.78794分,0.15%,4.84041分,2.91%,4.84696分,3.11%,,,,,,,,,,
694,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaochenlilin89"，"点我对话"),chenlilin89,小妮阿玛施哥弟代购,,,,,https://shop66202331.taobao.com,,,59100.00,广东,针织女,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
695,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyhzhu666"，"点我对话"),yhzhu666,阁楼精品时尚女装 批,,,,,https://shop58157111.taobao.com,,,41743.00,广东,针织女,,4.85662分,30.02%,4.88594分,30.61%,4.89564分,33.93%,,,,,,,,,,
696,上海夏尔时装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoibyi乙佰乙纳旗舰店"，"点我对话"),ibyi乙佰乙纳旗舰店,ibyi乙佰乙纳旗舰店,021-39557970,,,,https://shop72340021.taobao.com,,,0,广东,针织女,,4.94305分,55.22%,4.93736分,62.85%,4.94191分,63.60%,,,,,,,,,,
697,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣之都918"，"点我对话"),衣之都918,时尚潮流休闲运动专柜,,,,,https://shop109374904.taobao.com,,,3706.00,广东,针织女,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
698,上海巧登商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomissbulu旗舰店"，"点我对话"),missbulu旗舰店,missbulu旗舰店,,,,,https://shop215484104.taobao.com,,,0,广东,针织女,,4.87076分,0%,4.85538分,14.21%,4.8688分,17.77%,,,,,,,,,,
699,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小艺风尚"，"点我对话"),小艺风尚,小艺风尚,,,,,https://shop101534954.taobao.com,,,63269.00,广东,针织女,,4.86765分,35.40%,4.88235分,28.43%,4.86765分,16.21%,,,,,,,,,,
700,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣心衣意专柜店"，"点我对话"),衣心衣意专柜店,衣心衣意女装高级定制,,,,,https://shop111333552.taobao.com,,,11389.00,广东,针织女,,4.95556,78.32%,4.97185,82.89%,4.97185分,82.19%,,,,,,,,,,
701,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoshellorliu"，"点我对话"),shellorliu,Shellors衣柜,,,,,https://shop35794247.taobao.com,,,8188.30,广东,针织女,,4.93723分,69.36%,4.95957分,75.40%,4.96699分,79.10%,,,,,,,,,,
702,上海日播至信服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao目澈旗舰店"，"点我对话"),目澈旗舰店,目澈旗舰店,,,,,https://shop538573713.taobao.com,,,0,广东,针织女,,4.89189分,15.00%,4.87162分,23.84%,4.91216分,44.95%,,,,,,,,,,
703,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao靓丽时尚依饰"，"点我对话"),靓丽时尚依饰,恒源祥正品商城,,,,,https://shop65043892.taobao.com,,,135054.00,广东,针织女,,4.83353分,18.80%,4.89364分,35.34%,4.91792分,48.08%,,,,,,,,,,
704,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohewenmin1112"，"点我对话"),hewenmin1112,U家工厂直销,,,15526227388,,https://shop100227474.taobao.com,,,102995.00,广东,针织女,,4.81667分,10.52%,4.88125分,27.76%,4.88333分,26.13%,,,,,,,,,,
705,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolily女装体验馆"，"点我对话"),lily女装体验馆,lily折扣店,,,,,https://shop142056588.taobao.com,,,22756.00,广东,针织女,,4.80846,6.51%,4.81737,0.38%,4.87751分,22.45%,,,,,,,,,,
706,上海烨烁实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofazeya彩羊服饰旗舰店"，"点我对话"),fazeya彩羊服饰旗舰店,fazeya彩羊服饰旗舰店,,,,,https://shop165971280.taobao.com,,,102672.00,广东,针织女,,4.95822分,67.15%,4.94269分,66.00%,4.94322分,64.41%,,,,,,,,,,
707,清河县兴锦羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao玉心娇旗舰店"，"点我对话"),玉心娇旗舰店,玉心娇旗舰店,,,,,https://shop106451862.taobao.com,,,3701687.50,广东,针织女,,4.97959分,83.95%,4.89796分,39.47%,4.92857分,55.23%,,,,,,,,,,
708,南京千变万化电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美特斯邦威千变万化专卖店"，"点我对话"),美特斯邦威千变万化专卖店,美特斯邦威千变万化专卖店,,,,,https://shop492679386.taobao.com,,,1390220.80,广东,针织女,,4.84704分,0.53%,4.81027分,0%,4.81736分,0%,,,,,,,,,,
709,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao妲姬诱惑"，"点我对话"),妲姬诱惑,乐町花园折扣店,,,,,https://shop560253662.taobao.com,,,145634.00,广东,针织女,,4.86314分,33.20%,4.90212分,40.46%,4.90169分,37.76%,,,,,,,,,,
710,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芳芳靓店168"，"点我对话"),芳芳靓店168,华哥弟情 正品总店,,,,,https://shop103055845.taobao.com,,,33994.00,广东,针织女,,4.89878分,50.63%,4.92147分,52.26%,4.93368分,58.05%,,,,,,,,,,
711,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoailingyishe"，"点我对话"),ailingyishe,艾琳女装店,,,,,https://shop57162029.taobao.com,,,9944.00,广东,针织女,,4.80129分,3.01%,4.84935分,8.35%,4.85397分,7.55%,,,,,,,,,,
712,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao柠檬馨香"，"点我对话"),柠檬馨香,柠檬馨香严选精品女装,,021-34095160,,,https://shop33338081.taobao.com,,,44953.00,广东,针织女,,4.91408分,58.09%,4.93914分,63.00%,4.93907分,61.46%,,,,,,,,,,
713,上海热淘电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao热风outlets店"，"点我对话"),热风outlets店,热风outlets店,,,,,https://shop373768982.taobao.com,,,0,广东,针织女,,4.84962分,0%,4.8481分,9.89%,4.8629分,14.08%,,,,,,,,,,
714,台晟服饰（上海）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocircle旗舰店"，"点我对话"),circle旗舰店,circle旗舰店,,,,,https://shop117243518.taobao.com,,,100929.00,广东,针织女,,4.96951分,76.02%,4.93293分,60.22%,4.91768分,48.42%,,,,,,,,,,
715,嘉兴市天实贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao印象广场服饰旗舰店"，"点我对话"),印象广场服饰旗舰店,印象广场服饰旗舰店,,,,,https://shop205334728.taobao.com,,,10678.00,广东,针织女,,5.0分,100%,4.96552分,79.55%,4.96552分,78.39%,,,,,,,,,,
716,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao逗号铺子"，"点我对话"),逗号铺子,七七家工厂直销女装店,,,,,https://shop61954658.taobao.com,,,0,广东,针织女,,4.83193分,17.97%,4.84874分,7.98%,4.86555分,14.88%,,,,,,,,,,
717,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao你知我不爱怀旧"，"点我对话"),你知我不爱怀旧,DM潮品免税购,,,,,https://shop155487037.taobao.com,,,0,广东,针织女,,4.81579,10.15%,4.81579,0.41%,4.89474分,33.42%,,,,,,,,,,
718,上海墨焰网络科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoloomva洛米唯娅旗舰店"，"点我对话"),loomva洛米唯娅旗舰店,loomva洛米唯娅旗舰店,,,,,https://shop445244114.taobao.com,,,38024.00,广东,针织女,,4.84821分,0.51%,4.84821分,9.97%,4.85714分,10.49%,,,,,,,,,,
719,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小毅旗下008"，"点我对话"),小毅旗下008,蕾地素,,,,,https://shop203313959.taobao.com,,,0,广东,针织女,,4.90476,53.51%,4.92496,54.35%,4.94012分,62.09%,,,,,,,,,,
720,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao名品衣购"，"点我对话"),名品衣购,轻奢女装名衣购,,,,,https://shop205685313.taobao.com,,,0,广东,针织女,,4.99413,97.13%,4.99609,97.62%,4.99511分,96.90%,,,,,,,,,,
721,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao风姿绰约的小掌柜"，"点我对话"),风姿绰约的小掌柜,Go 花妖原创 仅此一家,,,,,https://shop61467261.taobao.com,,,166864.00,广东,针织女,,4.85148分,27.51%,4.89308分,34.96%,4.88877分,29.58%,,,,,,,,,,
722,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao潮流钱柜"，"点我对话"),潮流钱柜,香港女装潮流代购店,,,,,https://shop103968134.taobao.com,,,32812.00,广东,针织女,,4.9897,94.97%,4.99279,95.61%,4.99279分,95.44%,,,,,,,,,,
723,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao吉祥2008_peipei"，"点我对话"),吉祥2008_peipei,坚果家实拍,,,,,https://shop35645084.taobao.com,,,22292.00,广东,针织女,,4.8601,31.72%,4.89534,36.33%,4.90052分,37.02%,,,,,,,,,,
724,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyui品牌服饰"，"点我对话"),yui品牌服饰,猫梯服饰 猫梯折扣店,,13371800821,,,https://shop123599272.taobao.com,,,4270.50,广东,针织女,,4.82893分,16.50%,4.8499分,8.69%,4.87474分,20.70%,,,,,,,,,,
725,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博世鸿源"，"点我对话"),博世鸿源,美特斯邦威Meters Bonwe,,,,,https://shop109371662.taobao.com,,,96334.00,广东,针织女,,4.68942,-2.20%,4.74154,-1.95%,4.75746分,-1.75%,,,,,,,,,,
726,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诺惜服饰店"，"点我对话"),诺惜服饰店,诺惜服饰店,,,,,https://shop119071268.taobao.com,,,449.00,广东,针织女,,4.47368分,-6.70%,4.63158分,-4.22%,4.73684分,-2.17%,,,,,,,,,,
727,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao代购玖姿女装"，"点我对话"),代购玖姿女装,玖姿兰商城,,,,,https://shop252305712.taobao.com,,,29238.00,广东,针织女,,4.89292分,47.74%,4.92055分,51.67%,4.9171分,47.52%,,,,,,,,,,
728,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosuncity90"，"点我对话"),suncity90,艾琳女装2店,,,,,https://shop70543340.taobao.com,,,21687.00,广东,针织女,,4.83295分,18.46%,4.85963分,14.61%,4.87065分,18.11%,,,,,,,,,,
729,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaovip68588"，"点我对话"),vip68588,依桐定制,,,,,https://shop106569711.taobao.com,,,19506.00,广西,针织女,,4.96607分,83.45%,4.96429分,78.29%,4.96429分,77.41%,,,,,,,,,,
730,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojimmy_taibao"，"点我对话"),jimmy_taibao,阿庆嫂外贸时装小栈,,,,,https://shop63038794.taobao.com,,,38603.00,广西,针织女,,4.94137分,71.38%,4.9601分,75.73%,4.9601分,74.74%,,,,,,,,,,
731,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao茜苛服饰"，"点我对话"),茜苛服饰,茜苛服饰,,,,,https://shop442932645.taobao.com,,,363996.00,广西,针织女,,4.78934,0.12%,4.85046,9.03%,4.88166分,25.08%,,,,,,,,,,
732,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao阿撸泼墨哦"，"点我对话"),阿撸泼墨哦,小静静专柜代购,,,,,https://shop394280904.taobao.com,,,22009.00,广西,针织女,,4.88235分,42.58%,4.9226分,52.91%,4.9195分,49.03%,,,,,,,,,,
733,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao徐可儿1"，"点我对话"),徐可儿1,徐可儿1正品代购,,,,,https://shop34595962.taobao.com,,,80836.00,广西,针织女,,4.8039分,4.29%,4.82537分,0.21%,4.85366分,7.35%,,,,,,,,,,
734,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao花花草草精品屋"，"点我对话"),花花草草精品屋,花花草草精品店,,,,,https://shop569918112.taobao.com,,,2184.89,广西,针织女,,4.64789,-3.70%,4.70892,-2.98%,4.75587分,-2.04%,,,,,,,,,,
735,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao女人购物街"，"点我对话"),女人购物街,丹尚 宽松女装,18918096798,,,,https://shop33354470.taobao.com,,,0,广西,针织女,,4.8524分,28.00%,4.89034分,33.34%,4.8908分,30.93%,,,,,,,,,,
736,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao皇家音碟"，"点我对话"),皇家音碟,皇家时装,,,,,https://shop34350716.taobao.com,,,11938.00,广西,针织女,,4.92411分,62.96%,4.96875分,80.99%,4.95536分,71.74%,,,,,,,,,,
